Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
10.05.2022,15.2594,15.0944,15.3034,14.9937,,-0.17
09.05.2022,15.285,15.0867,15.3206,15.0799,,1.28
09.05.2022,15.0925,14.9413,15.1313,14.8103,,0.95
06.05.2022,14.95,14.8527,14.9587,14.7292,,0.02
05.05.2022,14.9468,14.8591,14.9598,14.851,,0.56
05.05.2022,14.8636,14.737,14.907,14.6589,,0.05
04.05.2022,14.8556,14.722,14.8964,14.6999,,0.78
04.05.2022,14.7403,14.8224,14.8551,14.711,,0.18
03.05.2022,14.7143,14.7909,14.8457,14.6948,,-0.67
03.05.2022,14.8141,14.8827,14.924,14.814,,0.11
02.05.2022,14.7975,14.8609,14.9062,14.7882,,-0.58
02.05.2022,14.8831,14.8502,14.9256,14.8436,,0.21
29.04.2022,14.8517,14.7928,14.8731,14.6111,,0.06
28.04.2022,14.8426,14.7942,14.8686,14.7595,,0.35
28.04.2022,14.7909,14.8066,14.8291,14.6301,,0.03
27.04.2022,14.7863,14.7761,14.8294,14.7308,,-0.14
27.04.2022,14.8072,14.8087,14.8448,14.6966,,0.24
26.04.2022,14.772,14.797,14.8334,14.7285,,-0.19
26.04.2022,14.7997,14.7727,14.8201,14.6407,,0.02
25.04.2022,14.797,14.7728,14.8171,14.7599,,0.13
25.04.2022,14.7772,14.7419,14.785,14.624,,0.23
22.04.2022,14.7427,14.7099,14.766,14.5968,,0.06
21.04.2022,14.7339,14.6855,14.7583,14.6855,,0.18
21.04.2022,14.7076,14.6775,14.7365,14.5185,,0.04
20.04.2022,14.7021,14.6606,14.7447,14.6541,,0.18
20.04.2022,14.6753,14.6448,14.6814,14.5084,,0.08
19.04.2022,14.6641,14.6425,14.6802,14.6216,,0.06
19.04.2022,14.6547,14.6481,14.6819,14.5179,,0.03
